Species	Change	Locus_tag	COG_categories	COG_numbers	KO_numbers	COG_annotations
F. prausnitzii	DOWN	FAEPRAA2165_RS04545	[E] Amino acid transport and metabolism - [R] General function prediction only	COG1168	KO:K14155	Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities
F. prausnitzii	DOWN	FAEPRAA2165_RS04550	[O] Posttranslational modification, protein turnover, chaperones	COG1225		Peroxiredoxin
F. prausnitzii	DOWN	FAEPRAA2165_RS04575			KO:K05366	
F. prausnitzii	DOWN	FAEPRAA2165_RS04580	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	UP	FAEPRAA2165_RS04585	[M] Cell wall/membrane/envelope biogenesis	COG1346		Putative effector of murein hydrolase
F. prausnitzii	UP	FAEPRAA2165_RS04595	[R] General function prediction only	COG0523		GTPase, G3E family
F. prausnitzii	DOWN	FAEPRAA2165_RS04645				
F. prausnitzii	DOWN	FAEPRAA2165_RS04650	[V] Defense mechanisms	COG3853		Uncharacterized conserved protein YaaN involved in tellurite resistance
F. prausnitzii	DOWN	FAEPRAA2165_RS04655				
F. prausnitzii	DOWN	FAEPRAA2165_RS04695	[O] Posttranslational modification, protein turnover, chaperones	COG0465	KO:K03798	ATP-dependent Zn proteases
F. prausnitzii	DOWN	FAEPRAA2165_RS04735	[G] Carbohydrate transport and metabolism	COG3250	KO:K01195	Beta-galactosidase/beta-glucuronidase
F. prausnitzii	UP	FAEPRAA2165_RS04880				
F. prausnitzii	UP	FAEPRAA2165_RS04885	[K] Transcription - [T] Signal transduction mechanisms	COG4753	KO:K07720	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains
F. prausnitzii	UP	FAEPRAA2165_RS05070	[E] Amino acid transport and metabolism	COG1126	KO:K10010 - KO:K16960	ABC-type polar amino acid transport system, ATPase component
F. prausnitzii	UP	FAEPRAA2165_RS05075	[E] Amino acid transport and metabolism - [T] Signal transduction mechanisms	COG0834	KO:K02424	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
F. prausnitzii	DOWN	FAEPRAA2165_RS05080	[L] Replication, recombination and repair	COG0322	KO:K03703	Excinuclease UvrABC, nuclease subunit
F. prausnitzii	UP	FAEPRAA2165_RS05120	[H] Coenzyme transport and metabolism	COG1893	KO:K00077	Ketopantoate reductase
F. prausnitzii	UP	FAEPRAA2165_RS05180	[L] Replication, recombination and repair	COG0305	KO:K02314	Replicative DNA helicase
F. prausnitzii	DOWN	FAEPRAA2165_RS05310	[I] Lipid transport and metabolism	COG0584	KO:K01126	Glycerophosphoryl diester phosphodiesterase
F. prausnitzii	UP	FAEPRAA2165_RS05315	[H] Coenzyme transport and metabolism	COG0619	KO:K16785	Energy-coupling factor transporter transmembrane protein EcfT
F. prausnitzii	UP	FAEPRAA2165_RS05320	[O] Posttranslational modification, protein turnover, chaperones	COG1123	KO:K16787	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain
F. prausnitzii	UP	FAEPRAA2165_RS05325	[S] Function unknown	COG4720	KO:K16924	Uncharacterized membrane protein
F. prausnitzii	DOWN	FAEPRAA2165_RS05480				
F. prausnitzii	UP	FAEPRAA2165_RS05560				
F. prausnitzii	UP	FAEPRAA2165_RS05670	[F] Nucleotide transport and metabolism	COG0041	KO:K01588	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
F. prausnitzii	DOWN	FAEPRAA2165_RS05725	[D] Cell cycle control, cell division, chromosome partitioning	COG2884	KO:K09812	ABC-type ATPase involved in cell division
F. prausnitzii	UP	FAEPRAA2165_RS05775	[E] Amino acid transport and metabolism	COG4166	KO:K15580	ABC-type oligopeptide transport system, periplasmic component
F. prausnitzii	UP	FAEPRAA2165_RS05810	[C] Energy production and conversion	COG1883	KO:K01572	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
F. prausnitzii	UP	FAEPRAA2165_RS05815				
F. prausnitzii	DOWN	FAEPRAA2165_RS05950	[K] Transcription	COG2207		AraC-type DNA-binding domain and AraC-containing proteins
F. prausnitzii	UP	FAEPRAA2165_RS06095	[P] Inorganic ion transport and metabolism	COG0614	KO:K02016	ABC-type Fe3+-hydroxamate transport system, periplasmic component
F. prausnitzii	UP	FAEPRAA2165_RS06100	[P] Inorganic ion transport and metabolism	COG0609	KO:K02015	ABC-type Fe3+-siderophore transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS06105	[P] Inorganic ion transport and metabolism	COG4779	KO:K02015	ABC-type enterobactin transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS06110	[H] Coenzyme transport and metabolism - [P] Inorganic ion transport and metabolism	COG1120	KO:K02013	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
F. prausnitzii	DOWN	FAEPRAA2165_RS06250	[R] General function prediction only	COG0714	KO:K03924	MoxR-like ATPase
F. prausnitzii	DOWN	FAEPRAA2165_RS06260				
F. prausnitzii	DOWN	FAEPRAA2165_RS06280	[S] Function unknown	COG4716	KO:K10254	Myosin-crossreactive antigen  (function unknown)
F. prausnitzii	UP	FAEPRAA2165_RS06350	[J] Translation, ribosomal structure and biogenesis	COG0227	KO:K02902	Ribosomal protein L28
F. prausnitzii	UP	FAEPRAA2165_RS06505				
F. prausnitzii	UP	FAEPRAA2165_RS06585	[C] Energy production and conversion	COG2025	KO:K03522	Electron transfer flavoprotein, alpha subunit
F. prausnitzii	UP	FAEPRAA2165_RS06595	[F] Nucleotide transport and metabolism	COG2233	KO:K03458	Xanthine/uracil permease
F. prausnitzii	UP	FAEPRAA2165_RS06750	[J] Translation, ribosomal structure and biogenesis	COG0254	KO:K02909	Ribosomal protein L31
F. prausnitzii	DOWN	FAEPRAA2165_RS06755	[V] Defense mechanisms	COG1131	KO:K01990	ABC-type multidrug transport system, ATPase component
F. prausnitzii	DOWN	FAEPRAA2165_RS06805	[H] Coenzyme transport and metabolism	COG1488	KO:K00763	Nicotinic acid phosphoribosyltransferase
F. prausnitzii	UP	FAEPRAA2165_RS06840	[C] Energy production and conversion	COG0716		Flavodoxin
F. prausnitzii	UP	FAEPRAA2165_RS06845				
F. prausnitzii	UP	FAEPRAA2165_RS06855	[R] General function prediction only	COG1873		Sporulation protein YlmC, PRC-barrel domain family
F. prausnitzii	DOWN	FAEPRAA2165_RS06875			KO:K06889	
F. prausnitzii	DOWN	FAEPRAA2165_RS06880	[E] Amino acid transport and metabolism	COG1247		L-amino acid N-acyltransferase YncA
F. prausnitzii	DOWN	FAEPRAA2165_RS07075			KO:K03070	
F. prausnitzii	DOWN	FAEPRAA2165_RS07080	[R] General function prediction only	COG4226		Predicted nuclease of the RNAse H fold, HicB family
F. prausnitzii	UP	FAEPRAA2165_RS07090				
F. prausnitzii	UP	FAEPRAA2165_RS07200	[G] Carbohydrate transport and metabolism	COG1175	KO:K10201	ABC-type sugar transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS07215			KO:K15533	
F. prausnitzii	UP	FAEPRAA2165_RS07470	[C] Energy production and conversion	COG0355	KO:K02114	FoF1-type ATP synthase, epsilon subunit
F. prausnitzii	UP	FAEPRAA2165_RS07475	[C] Energy production and conversion	COG0055	KO:K02112	FoF1-type ATP synthase, beta subunit
F. prausnitzii	DOWN	FAEPRAA2165_RS07515	[E] Amino acid transport and metabolism	COG4166	KO:K15580	ABC-type oligopeptide transport system, periplasmic component
F. prausnitzii	UP	FAEPRAA2165_RS07615	[J] Translation, ribosomal structure and biogenesis	COG0779	KO:K09748	Ribosome maturation factor RimP
F. prausnitzii	UP	FAEPRAA2165_RS07620	[K] Transcription	COG0195	KO:K02600	Transcription antitermination factor NusA, contains S1 and KH domains
F. prausnitzii	UP	FAEPRAA2165_RS07625	[R] General function prediction only	COG2740	KO:K07742	Predicted RNA-binding protein YlxR, DUF448 family
F. prausnitzii	UP	FAEPRAA2165_RS07630				
F. prausnitzii	UP	FAEPRAA2165_RS07635	[J] Translation, ribosomal structure and biogenesis	COG0532	KO:K02519	Translation initiation factor IF-2, a GTPase
F. prausnitzii	UP	FAEPRAA2165_RS07640	[J] Translation, ribosomal structure and biogenesis	COG0858	KO:K02834	Ribosome-binding factor A
F. prausnitzii	UP	FAEPRAA2165_RS07645	[F] Nucleotide transport and metabolism	COG0618	KO:K06881	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs
F. prausnitzii	UP	FAEPRAA2165_RS07650	[J] Translation, ribosomal structure and biogenesis	COG0130	KO:K03177	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA
F. prausnitzii	UP	FAEPRAA2165_RS07655	[H] Coenzyme transport and metabolism	COG0196	KO:K11753	FAD synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS07700	[C] Energy production and conversion	COG1454	KO:K00048	Alcohol dehydrogenase, class IV
F. prausnitzii	DOWN	FAEPRAA2165_RS07715	[K] Transcription - [T] Signal transduction mechanisms	COG0745		DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
F. prausnitzii	DOWN	FAEPRAA2165_RS07725			KO:K02005	
F. prausnitzii	DOWN	FAEPRAA2165_RS07735	[M] Cell wall/membrane/envelope biogenesis	COG4591	KO:K02004	ABC-type transport system, involved in lipoprotein release, permease component
F. prausnitzii	DOWN	FAEPRAA2165_RS07740				
F. prausnitzii	DOWN	FAEPRAA2165_RS07805	[L] Replication, recombination and repair	COG0629	KO:K03111	Single-stranded DNA-binding protein
F. prausnitzii	DOWN	FAEPRAA2165_RS08080	[R] General function prediction only - [C] Energy production and conversion - [I] Lipid transport and metabolism	COG1304		FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase
F. prausnitzii	UP	FAEPRAA2165_RS08110	[F] Nucleotide transport and metabolism	COG0503	KO:K00759	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
F. prausnitzii	DOWN	FAEPRAA2165_RS08140	[O] Posttranslational modification, protein turnover, chaperones	COG0606	KO:K07391	Predicted ATPase with chaperone activity
F. prausnitzii	UP	FAEPRAA2165_RS08180	[K] Transcription - [T] Signal transduction mechanisms	COG0317	KO:K00951	(p)ppGpp synthase/hydrolase, HD superfamily
F. prausnitzii	UP	FAEPRAA2165_RS08185	[J] Translation, ribosomal structure and biogenesis	COG1490	KO:K07560	D-Tyr-tRNAtyr deacylase
F. prausnitzii	UP	FAEPRAA2165_RS08190	[R] General function prediction only	COG0491		Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II
F. prausnitzii	UP	FAEPRAA2165_RS08195	[H] Coenzyme transport and metabolism	COG0635	KO:K02495	Coproporphyrinogen III oxidase or related Fe-S oxidoreductase
F. prausnitzii	DOWN	FAEPRAA2165_RS08205				
F. prausnitzii	DOWN	FAEPRAA2165_RS08215	[L] Replication, recombination and repair	COG0776	KO:K03530	Bacterial nucleoid DNA-binding protein
F. prausnitzii	DOWN	FAEPRAA2165_RS08220	[J] Translation, ribosomal structure and biogenesis	COG1188		Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain
F. prausnitzii	DOWN	FAEPRAA2165_RS08225				
F. prausnitzii	UP	FAEPRAA2165_RS08230	[F] Nucleotide transport and metabolism	COG0504	KO:K01937	CTP synthase (UTP-ammonia lyase)
F. prausnitzii	DOWN	FAEPRAA2165_RS08260	[K] Transcription	COG1609	KO:K02529	DNA-binding transcriptional regulator, LacI/PurR family
F. prausnitzii	DOWN	FAEPRAA2165_RS08320	[V] Defense mechanisms	COG3077	KO:K07473	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module
F. prausnitzii	DOWN	FAEPRAA2165_RS08325	[J] Translation, ribosomal structure and biogenesis	COG3041	KO:K19157	mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module
F. prausnitzii	UP	FAEPRAA2165_RS08370	[S] Function unknown	COG5294		Uncharacterized protein YxeA
F. prausnitzii	DOWN	FAEPRAA2165_RS08740	[H] Coenzyme transport and metabolism - [R] General function prediction only	COG0596		Pimeloyl-ACP methyl ester carboxylesterase
F. prausnitzii	DOWN	FAEPRAA2165_RS08865				
F. prausnitzii	DOWN	FAEPRAA2165_RS09085	[M] Cell wall/membrane/envelope biogenesis - [O] Posttranslational modification, protein turnover, chaperones	COG1086		NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC
F. prausnitzii	UP	FAEPRAA2165_RS09120	[E] Amino acid transport and metabolism - [R] General function prediction only	COG0493	KO:K00266	NADPH-dependent glutamate synthase beta chain or related oxidoreductase
F. prausnitzii	DOWN	FAEPRAA2165_RS09150			KO:K08884	
F. prausnitzii	DOWN	FAEPRAA2165_RS09245				
F. prausnitzii	UP	FAEPRAA2165_RS09265				
F. prausnitzii	UP	FAEPRAA2165_RS09270				
F. prausnitzii	UP	FAEPRAA2165_RS09275				
F. prausnitzii	UP	FAEPRAA2165_RS09280	[H] Coenzyme transport and metabolism	COG1893	KO:K00077	Ketopantoate reductase
F. prausnitzii	UP	FAEPRAA2165_RS09295				
F. prausnitzii	UP	FAEPRAA2165_RS09305	[R] General function prediction only	COG0491		Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II
F. prausnitzii	UP	FAEPRAA2165_RS09310				
F. prausnitzii	UP	FAEPRAA2165_RS09320				
F. prausnitzii	UP	FAEPRAA2165_RS09325	[R] General function prediction only	COG3976		Uncharacterized protein, contains FMN-binding domain
F. prausnitzii	DOWN	FAEPRAA2165_RS09490	[K] Transcription - [T] Signal transduction mechanisms	COG0745		DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
F. prausnitzii	DOWN	FAEPRAA2165_RS09495				
F. prausnitzii	DOWN	FAEPRAA2165_RS09500				
F. prausnitzii	DOWN	FAEPRAA2165_RS09530				
F. prausnitzii	DOWN	FAEPRAA2165_RS09535	[K] Transcription	COG1396		Transcriptional regulator, contains XRE-family HTH domain
F. prausnitzii	DOWN	FAEPRAA2165_RS09540				
F. prausnitzii	UP	FAEPRAA2165_RS09835				
F. prausnitzii	UP	FAEPRAA2165_RS09860	[K] Transcription	COG1327	KO:K07738	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains
F. prausnitzii	UP	FAEPRAA2165_RS09865	[U] Intracellular trafficking, secretion, and vesicular transport	COG0342	KO:K12257	Preprotein translocase subunit SecD
F. prausnitzii	UP	FAEPRAA2165_RS09890	[R] General function prediction only	COG1768	KO:K07099	Predicted phosphohydrolase
F. prausnitzii	UP	FAEPRAA2165_RS09905	[L] Replication, recombination and repair	COG0164	KO:K03470	Ribonuclease HII
F. prausnitzii	UP	FAEPRAA2165_RS09910	[J] Translation, ribosomal structure and biogenesis	COG1161	KO:K14540	Ribosome biogenesis GTPase A
F. prausnitzii	UP	FAEPRAA2165_RS09915	[U] Intracellular trafficking, secretion, and vesicular transport	COG0681	KO:K03100	Signal peptidase I
F. prausnitzii	UP	FAEPRAA2165_RS09920	[J] Translation, ribosomal structure and biogenesis	COG0335	KO:K02884	Ribosomal protein L19
F. prausnitzii	UP	FAEPRAA2165_RS09995	[J] Translation, ribosomal structure and biogenesis	COG0324	KO:K00791	tRNA A37 N6-isopentenylltransferase MiaA
F. prausnitzii	UP	FAEPRAA2165_RS10000	[L] Replication, recombination and repair	COG0323	KO:K03572	DNA mismatch repair ATPase MutL
F. prausnitzii	DOWN	FAEPRAA2165_RS10110				
F. prausnitzii	DOWN	FAEPRAA2165_RS10135	[G] Carbohydrate transport and metabolism	COG0395	KO:K02026	ABC-type glycerol-3-phosphate transport system, permease component
F. prausnitzii	DOWN	FAEPRAA2165_RS10150	[G] Carbohydrate transport and metabolism	COG3010	KO:K01788	Putative N-acetylmannosamine-6-phosphate epimerase
F. prausnitzii	DOWN	FAEPRAA2165_RS10155	[K] Transcription - [G] Carbohydrate transport and metabolism	COG1940	KO:K00845	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain
F. prausnitzii	DOWN	FAEPRAA2165_RS10160	[E] Amino acid transport and metabolism	COG2755		Lysophospholipase L1 or related esterase
F. prausnitzii	DOWN	FAEPRAA2165_RS10195				
F. prausnitzii	UP	FAEPRAA2165_RS10300				
F. prausnitzii	UP	FAEPRAA2165_RS10340	[J] Translation, ribosomal structure and biogenesis	COG2384	KO:K06967	tRNA A22 N-methylase
F. prausnitzii	UP	FAEPRAA2165_RS10345				
F. prausnitzii	UP	FAEPRAA2165_RS10400	[S] Function unknown	COG4990		Uncharacterized protein YvpB
F. prausnitzii	UP	FAEPRAA2165_RS10410	[O] Posttranslational modification, protein turnover, chaperones	COG0822	KO:K04488	NifU homolog involved in Fe-S cluster formation
F. prausnitzii	UP	FAEPRAA2165_RS10415	[E] Amino acid transport and metabolism	COG1104	KO:K04487	Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme
F. prausnitzii	UP	FAEPRAA2165_RS10460	[I] Lipid transport and metabolism	COG4667		Predicted phospholipase, patatin/cPLA2 family
F. prausnitzii	DOWN	FAEPRAA2165_RS10480			KO:K07813	
F. prausnitzii	UP	FAEPRAA2165_RS10545				
F. prausnitzii	DOWN	FAEPRAA2165_RS10555				
F. prausnitzii	DOWN	FAEPRAA2165_RS10565	[S] Function unknown	COG1649		Uncharacterized lipoprotein YddW, UPF0748 family
F. prausnitzii	DOWN	FAEPRAA2165_RS10675	[T] Signal transduction mechanisms	COG0642		Signal transduction histidine kinase
F. prausnitzii	DOWN	FAEPRAA2165_RS10680				
F. prausnitzii	DOWN	FAEPRAA2165_RS10685				
F. prausnitzii	DOWN	FAEPRAA2165_RS10735	[U] Intracellular trafficking, secretion, and vesicular transport	COG0805	KO:K03118	Sec-independent protein secretion pathway component TatC
F. prausnitzii	DOWN	FAEPRAA2165_RS10740	[U] Intracellular trafficking, secretion, and vesicular transport	COG1826	KO:K03116	Sec-independent protein translocase protein TatA
F. prausnitzii	UP	FAEPRAA2165_RS10775				
F. prausnitzii	UP	FAEPRAA2165_RS10795	[S] Function unknown	COG3641	KO:K07035	Uncharacterized membrane protein (does not regulate perfringolysin O expression)
F. prausnitzii	UP	FAEPRAA2165_RS10850	[E] Amino acid transport and metabolism - [K] Transcription	COG1167	KO:K00375	DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain
F. prausnitzii	DOWN	FAEPRAA2165_RS10860	[O] Posttranslational modification, protein turnover, chaperones	COG0652	KO:K03768	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
F. prausnitzii	DOWN	FAEPRAA2165_RS10900	[K] Transcription	COG0583		DNA-binding transcriptional regulator, LysR family
F. prausnitzii	DOWN	FAEPRAA2165_RS10960	[T] Signal transduction mechanisms - [K] Transcription	COG0745		DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
F. prausnitzii	DOWN	FAEPRAA2165_RS10980				
F. prausnitzii	DOWN	FAEPRAA2165_RS10985	[T] Signal transduction mechanisms	COG2199		GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants
F. prausnitzii	UP	FAEPRAA2165_RS11205			KO:K01154	
F. prausnitzii	DOWN	FAEPRAA2165_RS11400				
F. prausnitzii	DOWN	FAEPRAA2165_RS11440	[C] Energy production and conversion	COG1866	KO:K01610	Phosphoenolpyruvate carboxykinase, ATP-dependent
F. prausnitzii	UP	FAEPRAA2165_RS11460				
F. prausnitzii	UP	FAEPRAA2165_RS11465	[E] Amino acid transport and metabolism	COG1687		Branched-chain amino acid transport protein AzlD
F. prausnitzii	UP	FAEPRAA2165_RS11550				
F. prausnitzii	UP	FAEPRAA2165_RS11555				
F. prausnitzii	DOWN	FAEPRAA2165_RS11580				
F. prausnitzii	DOWN	FAEPRAA2165_RS11595				
F. prausnitzii	UP	FAEPRAA2165_RS11765				
F. prausnitzii	UP	FAEPRAA2165_RS11770	[J] Translation, ribosomal structure and biogenesis	COG0024	KO:K01265	Methionine aminopeptidase
F. prausnitzii	UP	FAEPRAA2165_RS11775	[F] Nucleotide transport and metabolism	COG0563	KO:K00939	Adenylate kinase or related kinase
F. prausnitzii	UP	FAEPRAA2165_RS11780	[U] Intracellular trafficking, secretion, and vesicular transport	COG0201	KO:K03076	Preprotein translocase subunit SecY
F. prausnitzii	UP	FAEPRAA2165_RS11785	[J] Translation, ribosomal structure and biogenesis	COG0200	KO:K02876	Ribosomal protein L15
F. prausnitzii	UP	FAEPRAA2165_RS11790	[J] Translation, ribosomal structure and biogenesis	COG1841	KO:K02907	Ribosomal protein L30/L7E
F. prausnitzii	UP	FAEPRAA2165_RS11795	[J] Translation, ribosomal structure and biogenesis	COG0098	KO:K02988	Ribosomal protein S5
F. prausnitzii	UP	FAEPRAA2165_RS11800	[J] Translation, ribosomal structure and biogenesis	COG0256	KO:K02881	Ribosomal protein L18
F. prausnitzii	UP	FAEPRAA2165_RS11805	[J] Translation, ribosomal structure and biogenesis	COG0097	KO:K02933	Ribosomal protein L6P/L9E
F. prausnitzii	UP	FAEPRAA2165_RS11810	[J] Translation, ribosomal structure and biogenesis	COG0096	KO:K02994	Ribosomal protein S8
F. prausnitzii	UP	FAEPRAA2165_RS11815	[J] Translation, ribosomal structure and biogenesis	COG0199	KO:K02954	Ribosomal protein S14
F. prausnitzii	UP	FAEPRAA2165_RS11820	[J] Translation, ribosomal structure and biogenesis	COG0094	KO:K02931	Ribosomal protein L5
F. prausnitzii	UP	FAEPRAA2165_RS11825	[J] Translation, ribosomal structure and biogenesis	COG0198	KO:K02895	Ribosomal protein L24
F. prausnitzii	UP	FAEPRAA2165_RS11830	[J] Translation, ribosomal structure and biogenesis	COG0093	KO:K02874	Ribosomal protein L14
F. prausnitzii	UP	FAEPRAA2165_RS11835	[J] Translation, ribosomal structure and biogenesis	COG0186	KO:K02961	Ribosomal protein S17
F. prausnitzii	UP	FAEPRAA2165_RS11840	[J] Translation, ribosomal structure and biogenesis	COG0255	KO:K02904	Ribosomal protein L29
F. prausnitzii	UP	FAEPRAA2165_RS11845	[J] Translation, ribosomal structure and biogenesis	COG0197	KO:K02878	Ribosomal protein L16/L10AE
F. prausnitzii	UP	FAEPRAA2165_RS11850	[J] Translation, ribosomal structure and biogenesis	COG0092	KO:K02982	Ribosomal protein S3
F. prausnitzii	UP	FAEPRAA2165_RS11855	[J] Translation, ribosomal structure and biogenesis	COG0091	KO:K02890	Ribosomal protein L22
F. prausnitzii	UP	FAEPRAA2165_RS11860	[J] Translation, ribosomal structure and biogenesis	COG0185	KO:K02965	Ribosomal protein S19
F. prausnitzii	UP	FAEPRAA2165_RS11865	[J] Translation, ribosomal structure and biogenesis	COG0090	KO:K02886	Ribosomal protein L2
F. prausnitzii	UP	FAEPRAA2165_RS11870	[J] Translation, ribosomal structure and biogenesis	COG0089	KO:K02892	Ribosomal protein L23
F. prausnitzii	UP	FAEPRAA2165_RS11875	[J] Translation, ribosomal structure and biogenesis	COG0088	KO:K02926	Ribosomal protein L4
F. prausnitzii	UP	FAEPRAA2165_RS11880	[J] Translation, ribosomal structure and biogenesis	COG0087	KO:K02906	Ribosomal protein L3
F. prausnitzii	UP	FAEPRAA2165_RS11885	[J] Translation, ribosomal structure and biogenesis	COG0051	KO:K02946	Ribosomal protein S10
F. prausnitzii	UP	FAEPRAA2165_RS11890	[J] Translation, ribosomal structure and biogenesis	COG1293		Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains
F. prausnitzii	UP	FAEPRAA2165_RS11895	[H] Coenzyme transport and metabolism	COG0327		Putative GTP cyclohydrolase 1 type 2, NIF3 family
F. prausnitzii	UP	FAEPRAA2165_RS11905				
F. prausnitzii	DOWN	FAEPRAA2165_RS12020	[G] Carbohydrate transport and metabolism	COG3594		Fucose 4-O-acetylase or related acetyltransferase
F. prausnitzii	DOWN	FAEPRAA2165_RS12035			KO:K07027	
F. prausnitzii	DOWN	FAEPRAA2165_RS12065	[H] Coenzyme transport and metabolism	COG2082	KO:K06042	Precorrin isomerase
F. prausnitzii	DOWN	FAEPRAA2165_RS12070	[H] Coenzyme transport and metabolism	COG1492	KO:K02232	Cobyric acid synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS12075	[E] Amino acid transport and metabolism	COG0079	KO:K04720	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
F. prausnitzii	DOWN	FAEPRAA2165_RS12080	[H] Coenzyme transport and metabolism	COG1270	KO:K02227	Cobalamin biosynthesis protein CobD/CbiB
F. prausnitzii	DOWN	FAEPRAA2165_RS12085	[G] Carbohydrate transport and metabolism	COG0406	KO:K02226	Broad specificity phosphatase PhoE
F. prausnitzii	DOWN	FAEPRAA2165_RS12090			KO:K02231	
F. prausnitzii	DOWN	FAEPRAA2165_RS12095	[H] Coenzyme transport and metabolism	COG0368	KO:K02233	Cobalamin synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS12110	[H] Coenzyme transport and metabolism	COG2038	KO:K00768	NaMN:DMB phosphoribosyltransferase
F. prausnitzii	DOWN	FAEPRAA2165_RS12115	[H] Coenzyme transport and metabolism	COG1797	KO:K02224	Cobyrinic acid a,c-diamide synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS12120	[H] Coenzyme transport and metabolism	COG2242	KO:K00595	Precorrin-6B methylase 2
F. prausnitzii	DOWN	FAEPRAA2165_RS12125	[H] Coenzyme transport and metabolism	COG2099	KO:K05895	Precorrin-6x reductase
F. prausnitzii	DOWN	FAEPRAA2165_RS12130	[H] Coenzyme transport and metabolism	COG1010	KO:K05934	Precorrin-3B methylase
F. prausnitzii	DOWN	FAEPRAA2165_RS12135	[H] Coenzyme transport and metabolism	COG2073	KO:K02189	Cobalamin biosynthesis protein CbiG
F. prausnitzii	DOWN	FAEPRAA2165_RS12140	[H] Coenzyme transport and metabolism	COG2875	KO:K05936	Precorrin-4 methylase
F. prausnitzii	DOWN	FAEPRAA2165_RS12145	[H] Coenzyme transport and metabolism	COG1903	KO:K02188	Cobalamin biosynthesis protein CbiD
F. prausnitzii	DOWN	FAEPRAA2165_RS12150	[P] Inorganic ion transport and metabolism	COG0609	KO:K02015	ABC-type Fe3+-siderophore transport system, permease component
F. prausnitzii	DOWN	FAEPRAA2165_RS12155	[P] Inorganic ion transport and metabolism	COG0614	KO:K02016	ABC-type Fe3+-hydroxamate transport system, periplasmic component
F. prausnitzii	DOWN	FAEPRAA2165_RS12160				
F. prausnitzii	DOWN	FAEPRAA2165_RS12165	[H] Coenzyme transport and metabolism	COG4822		Cobalamin biosynthesis protein CbiK, Co2+ chelatase
F. prausnitzii	DOWN	FAEPRAA2165_RS12185	[R] General function prediction only	COG1040		Predicted amidophosphoribosyltransferases
F. prausnitzii	DOWN	FAEPRAA2165_RS12190				
F. prausnitzii	UP	FAEPRAA2165_RS12215	[S] Function unknown	COG3543	KO:K09706	Uncharacterized protein
F. prausnitzii	UP	FAEPRAA2165_RS12395	[U] Intracellular trafficking, secretion, and vesicular transport	COG3451		Type IV secretory pathway, VirB4 component
F. prausnitzii	DOWN	FAEPRAA2165_RS12605	[S] Function unknown	COG4720		Uncharacterized membrane protein
F. prausnitzii	DOWN	FAEPRAA2165_RS12610	[H] Coenzyme transport and metabolism	COG0285	KO:K11754	Folylpolyglutamate synthase/Dihydropteroate synthase
F. prausnitzii	DOWN	FAEPRAA2165_RS12655				
F. prausnitzii	DOWN	FAEPRAA2165_RS12720				
F. prausnitzii	DOWN	FAEPRAA2165_RS12725				
F. prausnitzii	UP	FAEPRAA2165_RS12770	[F] Nucleotide transport and metabolism	COG2252	KO:K06901	Xanthine/uracil/vitamin C permease, AzgA family
